label,implementation,number
chjj,Bcoin,3881
indutny,Bcoin,130
boymanjor,Bcoin,9
mnaamani,Bcoin,7
BluSyn,Bcoin,3
czzarr,Bcoin,3
samlanning,Bcoin,2
kleetus,Bcoin,2
srsgores,Bcoin,2
jjz,Bcoin,2
ralphtheninja,Bcoin,2
braydonf,Bcoin,1
pinheadmz,Bcoin,1
elopio,Bcoin,1
thehobbit85,Bcoin,1
homeopatchy,Bcoin,1
murtyjones,Bcoin,1
michaelfolkson,Bcoin,1
dionyziz,Bcoin,1
danrobinson,Bcoin,1
coinables,Bcoin,1
bitjson,Bcoin,1
moodytomatoes,Bcoin,1
mvayngrib,Bcoin,1
mikehearn,Bitcoinj,734
schildbach,Bitcoinj,453
TheBlueMatt,Bitcoinj,218
devrandom,Bitcoinj,51
devrandom1,Bitcoinj,48
rnicoll,Bitcoinj,33
troggy,Bitcoinj,32
oscarguindzberg,Bitcoinj,28
amichair,Bitcoinj,18
10qertoip,Bitcoinj,16
C-Otto,Bitcoinj,15
w-shackleton,Bitcoinj,13
wlk,Bitcoinj,10
kparmar1,Bitcoinj,9
cyberzac,Bitcoinj,9
ksedgwic,Bitcoinj,7
kmels,Bitcoinj,7
jarlfr,Bitcoinj,7
erasmospunk,Bitcoinj,7
peterdettman,Bitcoinj,6
jlopp,Bitcoinj,6
jim618,Bitcoinj,4
fofanov,Bitcoinj,4
kirill-vlasov,Bitcoinj,4
mruddy,Bitcoinj,4
mrosseel,Bitcoinj,3
ragmondo,Bitcoinj,3
natzei,Bitcoinj,3
dexX7,Bitcoinj,2
eztierney,Bitcoinj,2
prusnak,Bitcoinj,2
gezero,Bitcoinj,2
gary-rowe,Bitcoinj,2
bumi,Bitcoinj,2
eleetas,Bitcoinj,2
wardialer,Bitcoinj,2
jgriffiths,Bitcoinj,2
dcw312,Bitcoinj,2
jdojff,Bitcoinj,2
ollekullberg,Bitcoinj,2
davecgh,Bitcoinj,2
cpacia,Bitcoinj,2
StephenLReed,Bitcoinj,2
p-,Bitcoinj,2
ManfredKarrer,Bitcoinj,2
msgilligan,Bitcoinj,1
posita,Bitcoinj,1
xenog,Bitcoinj,1
titeuf87,Bitcoinj,1
alolis,Bitcoinj,1
mmazi,Bitcoinj,1
gubatron,Bitcoinj,1
simondlr,Bitcoinj,1
kgreenek,Bitcoinj,1
petertodd,Bitcoinj,1
dbasch,Bitcoinj,1
haraldh,Bitcoinj,1
edrevo,Bitcoinj,1
voisine,Bitcoinj,1
negedzuregal,Bitcoinj,1
zhouer,Bitcoinj,1
bitbandi,Bitcoinj,1
haxwell,Bitcoinj,1
fireduck64,Bitcoinj,1
marctrem,Bitcoinj,1
langerhans,Bitcoinj,1
illuzen,Bitcoinj,1
andrewtoth,Bitcoinj,1
kushti,Bitcoinj,1
greenaddress,Bitcoinj,1
Gaff,Bitcoinj,1
johnygeorge,Bitcoinj,1
greglaun,Bitcoinj,1
ewiner,Bitcoinj,1
jonathancross,Bitcoinj,1
ScripterRon,Bitcoinj,1
dwhjames,Bitcoinj,1
javgh,Bitcoinj,1
thokon00,Bitcoinj,1
saulbein,Bitcoinj,1
Gitju,Bitcoinj,1
davecgh,BTCD,1,450
dajohi,BTCD,303
jrick,BTCD,206
jcvernaleo,BTCD,93
Roasbeef,BTCD,49
drahn,BTCD,44
tuxcanfly,BTCD,28
flammit,BTCD,23
jongillham,BTCD,20
owainga,BTCD,16
aakselrod,BTCD,12
stevenroose,BTCD,10
jimmysong,BTCD,10
wallclockbuilder,BTCD,9
tsenart,BTCD,9
Dirbaio,BTCD,7
kargakis,BTCD,6
tb00,BTCD,4
dskloetg,BTCD,4
DanielKrawisz,BTCD,3
toddfries,BTCD,3
alexbosworth,BTCD,3
marcopeereboom,BTCD,2
dan-da,BTCD,2
verokarhu,BTCD,2
gsalgado,BTCD,2
ishbir,BTCD,2
chris-martin,BTCD,2
mischief,BTCD,1
rvelhote,BTCD,1
halseth,BTCD,1
esemplastic,BTCD,1
cpacia,BTCD,1
dskloet,BTCD,1
jadeblaquiere,BTCD,1
ysangkok,BTCD,1
waldyrious,BTCD,1
hectorj,BTCD,1
ngCr3at1on,BTCD,1
Kefkius,BTCD,1
shphrd,BTCD,1
jzbz,BTCD,1
mvdan,BTCD,1
runeaune,BTCD,1
justusranvier,BTCD,1
lologarithm,BTCD,1
drazisil,BTCD,1
bclermont,BTCD,1
federicobond,BTCD,1
oleganza,BTCD,1
fanquake,BTCD,1
evansuva,BTCD,1
beldur,BTCD,1
benhc123,BTCD,1
ortutay,BTCD,1
yrashk,BTCD,1
carryforward,BTCD,1
turboroot,BTCD,1
mdempsky,BTCD,1
Wladimir J. van der Laan,Core(bitcoin.team),1098
Pieter Wuille,Core(bitcoin.team),854
Philip Kaufmann,Core(bitcoin.team),542
Gavin Andresen,Core(bitcoin.team),392
Matt Corallo,Core(bitcoin.team),386
Jonas Schnelli,Core(bitcoin.team),335
Cory Fields,Core(bitcoin.team),246
MarcoFalke,Core(bitcoin.team),230
Luke Dashjr,Core(bitcoin.team),222
s_nakamoto,Core(bitcoin.team),213
Jeff Garzik,Core(bitcoin.team),208
Alex Morcos,Core(bitcoin.team),190
Suhas Daftuar,Core(bitcoin.team),170
John Newbery,Core(bitcoin.team),148
Gregory Maxwell,Core(bitcoin.team),142
Russell Yanofsky,Core(bitcoin.team),92
Peter Todd,Core(bitcoin.team),79
Pavel Janík,Core(bitcoin.team),76
Jorge Timón,Core(bitcoin.team),74
jtimon,Core(bitcoin.team),72
practicalswift,Core(bitcoin.team),72
Cozz Lovan,Core(bitcoin.team),67
Patrick Strateman,Core(bitcoin.team),48
Michael Ford,Core(bitcoin.team),33
R E Broadley,Core(bitcoin.team),32
Eric Lombrozo,Core(bitcoin.team),31
Daniel Kraft,Core(bitcoin.team),29
Giel van Schijndel,Core(bitcoin.team),29
Jeremy Rubin,Core(bitcoin.team),28
Satoshi Nakamoto,Core(bitcoin.team),24
instagibbs,Core(bitcoin.team),23
Gregory Sanders,Core(bitcoin.team),21
Karl-Johan Alm,Core(bitcoin.team),21
Andrew Chow,Core(bitcoin.team),20
BtcDrak,Core(bitcoin.team),20
Chris Moore,Core(bitcoin.team),19
gavinandresen,Core(bitcoin.team),18
Johnson Lau,Core(bitcoin.team),17
NicolasDorier,Core(bitcoin.team),17
Patick Strateman,Core(bitcoin.team),17
Tom Harding,Core(bitcoin.team),17
JaSK,Core(bitcoin.team),16
sirius-m,Core(bitcoin.team),16
Kamil Domanski,Core(bitcoin.team),15
Kaz Wesley,Core(bitcoin.team),15
fanquake,Core(bitcoin.team),15
mrbandrews,Core(bitcoin.team),15
Casey Rodarmor,Core(bitcoin.team),14
Jimmy Song,Core(bitcoin.team),14
ENikS,Core(bitcoin.team),13
dexX7,Core(bitcoin.team),13
Mark Friedenbach,Core(bitcoin.team),12
xanatos,Core(bitcoin.team),12
2.10E+15,Core(bitcoin.team),11
João Barbosa,Core(bitcoin.team),11
Mike Hearn,Core(bitcoin.team),11
Nils Schneider,Core(bitcoin.team),11
tcatm,Core(bitcoin.team),11
Daniel Cousens,Core(bitcoin.team),10
jnewbery,Core(bitcoin.team),10
mruddy,Core(bitcoin.team),10
Pavel Vasin,Core(bitcoin.team),9
Ricardo M. Correia,Core(bitcoin.team),9
