label,implementation,number
mikehearn,Bitcoinj,734
schildbach,Bitcoinj,453
TheBlueMatt,Bitcoinj,218
devrandom,Bitcoinj,51
devrandom1,Bitcoinj,48
rnicoll,Bitcoinj,33
troggy,Bitcoinj,32
oscarguindzberg,Bitcoinj,28
amichair,Bitcoinj,18
10qertoip,Bitcoinj,16
C-Otto,Bitcoinj,15
w-shackleton,Bitcoinj,13
wlk,Bitcoinj,10
kparmar1,Bitcoinj,9
cyberzac,Bitcoinj,9
ksedgwic,Bitcoinj,7
kmels,Bitcoinj,7
jarlfr,Bitcoinj,7
erasmospunk,Bitcoinj,7
peterdettman,Bitcoinj,6
jlopp,Bitcoinj,6
jim618,Bitcoinj,4
fofanov,Bitcoinj,4
kirill-vlasov,Bitcoinj,4
mruddy,Bitcoinj,4
mrosseel,Bitcoinj,3
ragmondo,Bitcoinj,3
natzei,Bitcoinj,3
dexX7,Bitcoinj,2
eztierney,Bitcoinj,2
prusnak,Bitcoinj,2
gezero,Bitcoinj,2
gary-rowe,Bitcoinj,2
bumi,Bitcoinj,2
eleetas,Bitcoinj,2
wardialer,Bitcoinj,2
jgriffiths,Bitcoinj,2
dcw312,Bitcoinj,2
jdojff,Bitcoinj,2
ollekullberg,Bitcoinj,2
davecgh,Bitcoinj,2
cpacia,Bitcoinj,2
StephenLReed,Bitcoinj,2
p-,Bitcoinj,2
ManfredKarrer,Bitcoinj,2
msgilligan,Bitcoinj,1
posita,Bitcoinj,1
xenog,Bitcoinj,1
titeuf87,Bitcoinj,1
alolis,Bitcoinj,1
mmazi,Bitcoinj,1
gubatron,Bitcoinj,1
simondlr,Bitcoinj,1
kgreenek,Bitcoinj,1
petertodd,Bitcoinj,1
dbasch,Bitcoinj,1
haraldh,Bitcoinj,1
edrevo,Bitcoinj,1
voisine,Bitcoinj,1
negedzuregal,Bitcoinj,1
zhouer,Bitcoinj,1
bitbandi,Bitcoinj,1
haxwell,Bitcoinj,1
fireduck64,Bitcoinj,1
marctrem,Bitcoinj,1
langerhans,Bitcoinj,1
illuzen,Bitcoinj,1
andrewtoth,Bitcoinj,1
kushti,Bitcoinj,1
greenaddress,Bitcoinj,1
Gaff,Bitcoinj,1
johnygeorge,Bitcoinj,1
greglaun,Bitcoinj,1
ewiner,Bitcoinj,1
jonathancross,Bitcoinj,1
ScripterRon,Bitcoinj,1
dwhjames,Bitcoinj,1
javgh,Bitcoinj,1
thokon00,Bitcoinj,1
saulbein,Bitcoinj,1
Gitju,Bitcoinj,1
