label,implementation,number
davecgh,BTCD,1,450
dajohi,BTCD,303
jrick,BTCD,206
jcvernaleo,BTCD,93
Roasbeef,BTCD,49
drahn,BTCD,44
tuxcanfly,BTCD,28
flammit,BTCD,23
jongillham,BTCD,20
owainga,BTCD,16
aakselrod,BTCD,12
stevenroose,BTCD,10
jimmysong,BTCD,10
wallclockbuilder,BTCD,9
tsenart,BTCD,9
Dirbaio,BTCD,7
kargakis,BTCD,6
tb00,BTCD,4
dskloetg,BTCD,4
DanielKrawisz,BTCD,3
toddfries,BTCD,3
alexbosworth,BTCD,3
marcopeereboom,BTCD,2
dan-da,BTCD,2
verokarhu,BTCD,2
gsalgado,BTCD,2
ishbir,BTCD,2
chris-martin,BTCD,2
mischief,BTCD,1
rvelhote,BTCD,1
halseth,BTCD,1
esemplastic,BTCD,1
cpacia,BTCD,1
dskloet,BTCD,1
jadeblaquiere,BTCD,1
ysangkok,BTCD,1
waldyrious,BTCD,1
hectorj,BTCD,1
ngCr3at1on,BTCD,1
Kefkius,BTCD,1
shphrd,BTCD,1
jzbz,BTCD,1
mvdan,BTCD,1
runeaune,BTCD,1
justusranvier,BTCD,1
lologarithm,BTCD,1
drazisil,BTCD,1
bclermont,BTCD,1
federicobond,BTCD,1
oleganza,BTCD,1
fanquake,BTCD,1
evansuva,BTCD,1
beldur,BTCD,1
benhc123,BTCD,1
ortutay,BTCD,1
yrashk,BTCD,1
carryforward,BTCD,1
turboroot,BTCD,1
mdempsky,BTCD,1
