label,implementation,number
evoskuil,Libbitcoin,2,249
genjix,Libbitcoin,709
pmienk,Libbitcoin,156
swansontec,Libbitcoin,90
thecodefactory,Libbitcoin,43
kdomanski,Libbitcoin,36
PabloCastellano,Libbitcoin,24
phantomcircuit,Libbitcoin,23
RojavaCrypto,Libbitcoin,19
Bobalot,Libbitcoin,9
wlbentley,Libbitcoin,5
png85,Libbitcoin,4
mlmikael,Libbitcoin,2
veox,Libbitcoin,2
shunyata,Libbitcoin,2
shawnpringle,Libbitcoin,2
kevinejohn,Libbitcoin,1
alexreg,Libbitcoin,1
bardiharborow,Libbitcoin,1
lclc,Libbitcoin,1
rafalkrupinski,Libbitcoin,1
changlan,Libbitcoin,1
atweiden,Libbitcoin,1
benhc123,Libbitcoin,1
jaromil,Libbitcoin,1
omidaladini,Libbitcoin,1
xnox,Libbitcoin,1
