number,label
59047300,BitMEX
43079300,Bitfinex
37167800,Coincheck
36977500,Kraken
33103600,Poloniex
28287500,Gemini
26846200,Bithumb
25336256,GDAX
23724220,BTCC
22436640,Bitstamp
20668820,bitFlyer
15786600,OKCoin.cn
15002700,Coinone
13085600,Huobi
11890670,CoinsBank
10217100,Korbit
8712624,Quoine
8346930,Zaif
7518830,Bittrex
6722350,BTC-E
5137200,BTCBOX
4563000,FlowBTC
4433900,CHBTC
3809790,Yunbi
3803140,BTC-X
3358280,itBit
3339300,HitBTC
2727990,OkCoinIntl.
2451654,Livecoin
2074440,SZZC
1423290,xBTCe
1365197,Coinfloor
1363984,Luno
1306579,BitBays
1237942,CEX.IO
1143670,BitcoinIndonesia
1129190,BitBay
1026544,QuadrigaCX
1003310,Paribu
1001900,BXThailand
938358,BTC38
920180,Exmo
803410,Bitso
713072,Bitonic
646629,USDX
567054,BitMarket
522508,BTCMarkets
508795,BTER
465980,BTCTurk
465776,MercadoBitcoin
360856,TheRockTrading
360742,Koinim
343056,Yuanbao
290924,BitcoinToYou
267287,LiteBit.eu
211708,CoinMate
188566,Coinsquare
184556,LykkeExchange
176441,Liqui
165326,alcurEX
162271,Gatehub
144182,Gatecoin
133005,YoBit
127926,Nevbit
118648,FlowBTC
115859,Bitbank
108445,Bittylicious
87145,AltcoinTrader
82206,BTCAlpha
81440,DCExchange
60430,NegocieCoins
54930,DABTC
53568,EasyCoin
46531,SurBTC
39823,LocalTrade
38493,Bitlish
33040,C-CEX
32630,Fargobase
32157,Kuna
29241,Bitex.la
28217,BTCTradeUA
21124,Bitmaszyna
11700,Bitsane
8326,Dgtmarket
8268,Cryptomate
4763,BitKonan
634,SouthXchange
