number,label
37046 , F2Pool
32935 , BTCGuild
27322 , AntPool
23083 , GHash.IO
19776 , SlushPool
15399 , BTCC
15157 , BitFury
11386 , Eligius
11328 , BW.COM
6439 , BitMinter
6392 , 50BTC
6290 , KnCMiner
4845 , OzCoin
3619 , ViaBTC
3595 , EclipseMC
3231 , Bixin
3127 , ASICMiner
2806 , BitClub
2313 , BTC.TOP
2170 , BTC.com
1986 , KanoCK
1824 , CloudHashing
214 , Telco
1546 , 1Hash
1508 , 21Inc.
1290 , Polmine
1254 , GBMiners
908 , Cointerra
886 , Bitcoin.com
816 , MegaBigPower
676 , digitalBTC
623 , HHTT
583 , Bitparking
449 , MaxBTC
346 , CoinLab
333 , TripleMining
317 , GoGreenLight
293 , BTCNuggets
270 , BATPOOL
248 , CANOE
226 , Yourbtc.net
220 , SoloCK
116 , EXX&BW
105 , NMCbit
77 , MtRed
63 , ConnectBTC
53 , BitcoinIndia
48 , STMiningCorp
43 , simplecoin.us
38 , mmpool
29 , Waterhole
26 , HAOZHUZHU
22 , 175btc
22 , Bitsolo
18 , NiceHash
15 , BCMonster
10 , Eobot
9 , BTCServ
8 , bcpool.io
6 , UNOMP
5 , Huobi
1 , BTCPoolParty
